iter	Passed	Remaining
398	193912	292084
399	194517	291776
400	195002	291288
401	195506	290827
402	195989	290337
403	196495	289879
404	196895	289266
405	197322	288693
406	197795	288188
407	198325	287765
408	198832	287310
409	199391	286929
410	199880	286446
411	200426	286046
412	200938	285595
413	201438	285127
414	201949	284675
415	202402	284142
416	203085	283930
417	203634	283529
418	204184	283128
419	204688	282665
420	205316	282370
421	206034	282198
422	206707	281962
423	207273	281579
424	207788	281125
425	208257	280609
426	208755	280133
427	209335	279766
428	209779	279216
429	210295	278763
430	210760	278242
431	211283	277798
432	211781	277321
433	212236	276787
434	212736	276313
435	213198	275788
436	213789	275431
437	214399	275097
438	214899	274621
439	215367	274104
440	215762	273494
441	216201	272942
442	216737	272511
443	217209	272001
444	217604	271394
445	218055	270858
446	218486	270298
447	218977	269811
448	219505	269370
449	220048	268948
450	220573	268503
451	220982	267917
452	221460	267414
453	221931	266904
454	222505	266518
455	222982	266014
456	223381	265417
457	223827	264878
458	224357	264439
459	224795	263890
460	225248	263359
461	225730	262863
462	226148	262293
463	226693	261870
464	227094	261280
465	227715	260944
466	228248	260505
467	228708	259984
468	229297	259609
469	229764	259096
470	230243	258595
471	230730	258105
472	231210	257606
473	231798	257227
474	232405	256869
475	232831	256310
476	233467	255981
477	233883	255412
478	234374	254925
479	234814	254382
480	235276	253863
481	235750	253358
482	236171	252796
483	236610	252253
484	237108	251774
485	237509	251193
486	238009	250716
487	238460	250187
488	238993	249746
489	239433	249205
490	239888	248682
491	240389	248207
492	240919	247760
493	241409	247273
494	241908	246795
495	242373	246283
496	242869	245801
497	243375	245329
498	244061	245039
499	244653	244653
500	245295	244316
501	245814	243855
502	246438	243499
503	246940	243020
504	247425	242526
505	248085	242202
506	248708	241840
507	249273	241422
508	249790	240957
509	250259	240445
510	250812	240013
511	251338	239556
512	251941	239172
513	252438	238686
514	253094	238351
515	253666	237935
516	254070	237361
517	254512	236824
518	255012	236341
519	255498	235844
520	256093	235448
521	256705	235067
522	257209	234586
523	257670	234067
524	258274	233676
525	258789	233205
526	259326	232754
527	259837	232279
528	260344	231799
529	260942	231401
530	261497	230964
531	262116	230583
532	262678	230151
533	263151	229641
534	263645	229149
535	264152	228669
